Risk,Impact,Base Score,Base Score-Value,Motive Likelihood,Threat Agent,Attack Vector,Target,1_Hop,2_Hops,3_Hops,4_Hops
M,M,C,10.0,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,No Hop,No Hop,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,No Hop,No Hop,No Hop
M,M,C,10.0,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,No Hop,No Hop,No Hop
L,VL,M,4.2,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Smart lighting system 2,No Hop,No Hop,No Hop
L,VL,M,4.2,L,Nation State (Hospital),A,Smart Thermostat,Smart lighting system 2,No Hop,No Hop,No Hop
L,VL,M,4.3,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Light Controller 1,No Hop,No Hop,No Hop
L,VL,M,4.3,L,Nation State (Hospital),A,Smart Thermostat,Light Controller 1,No Hop,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Access Point,No Hop,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Access Point,No Hop,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Access Point,No Hop,No Hop,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,IP Surveillance camera,No Hop,No Hop,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,IP Surveillance camera,No Hop,No Hop,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,IP Surveillance camera,No Hop,No Hop,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Light Controller 1,No Hop,No Hop,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Light Controller 1,No Hop,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,H,H,7.8,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,H,H,7.8,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,H,C,9.8,L,Business Competitor,N,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
H,H,C,9.8,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,H,C,9.8,L,Cyber Terrorist,N,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,H,C,9.8,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,No Hop,No Hop,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,No Hop,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,No Hop,No Hop
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Smart Bed,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,Hospital main router,No Hop,No Hop
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Hospital main router,No Hop,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Smart Bed,Light Controller 1,No Hop,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Smart Bed,Light Controller 1,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart Bed,Support workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart Bed,Support workstation,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Access Point,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Access Point,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Access Point,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Access Point,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Access Point,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Access Point,No Hop,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,No Hop,No Hop
L,VL,M,4.3,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Smart lighting system 2,Light Controller 1,No Hop,No Hop
L,VL,M,4.3,L,Nation State (Hospital),A,Smart Thermostat,Smart lighting system 2,Light Controller 1,No Hop,No Hop
VL,VL,L,3.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Light Controller 1,IP Surveillance camera,No Hop,No Hop
VL,VL,L,3.8,L,Cyber Terrorist,N,Smart Thermostat,Light Controller 1,IP Surveillance camera,No Hop,No Hop
VL,VL,L,3.8,L,Nation State (Hospital),N,Smart Thermostat,Light Controller 1,IP Surveillance camera,No Hop,No Hop
L,VL,M,6.5,L,Healthcare Rights Activist,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
L,VL,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
L,VL,M,6.5,L,Business Competitor,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
M,VL,M,6.5,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
L,VL,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
L,VL,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
L,VL,M,4.2,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Light Controller 1,Smart lighting system 2,No Hop,No Hop
L,VL,M,4.2,L,Nation State (Hospital),A,Smart Thermostat,Light Controller 1,Smart lighting system 2,No Hop,No Hop
L,VL,M,4.4,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Light Controller 1,Support workstation,No Hop,No Hop
L,VL,M,4.4,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Light Controller 1,Support workstation,No Hop,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Access Point,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Access Point,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Access Point,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Access Point,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Access Point,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Access Point,IP Surveillance camera,No Hop,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Access Point,Light Controller 1,No Hop,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Access Point,Light Controller 1,No Hop,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Access Point,Light Controller 1,No Hop,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Access Point,Light Controller 1,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Access Point,Support workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Access Point,Support workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Access Point,Support workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Access Point,Support workstation,No Hop,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Worker,N,Smart Thermostat,IP Surveillance camera,Smart Bed,No Hop,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,IP Surveillance camera,Smart Bed,No Hop,No Hop
M,M,C,10.0,L,Nation State (Hospital),N,Smart Thermostat,IP Surveillance camera,Smart Bed,No Hop,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,IP Surveillance camera,Doctor's workstation,No Hop,No Hop
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,IP Surveillance camera,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,IP Surveillance camera,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,IP Surveillance camera,Hospital main router,No Hop,No Hop
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,IP Surveillance camera,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,IP Surveillance camera,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,IP Surveillance camera,Hospital main router,No Hop,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,IP Surveillance camera,Light Controller 1,No Hop,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,IP Surveillance camera,Light Controller 1,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,IP Surveillance camera,Support workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,IP Surveillance camera,Support workstation,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,IP Surveillance camera,Access Point,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,IP Surveillance camera,Access Point,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,IP Surveillance camera,Access Point,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,IP Surveillance camera,Access Point,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,IP Surveillance camera,Access Point,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,IP Surveillance camera,Access Point,No Hop,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Light Controller 1,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Light Controller 1,IP Surveillance camera,No Hop,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Light Controller 1,IP Surveillance camera,No Hop,No Hop
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Light Controller 1,Hospital main router,No Hop,No Hop
M,M,M,6.8,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Light Controller 1,Smart lighting system 2,No Hop,No Hop
M,M,M,6.8,L,Nation State (Hospital),A,Smart Thermostat,Light Controller 1,Smart lighting system 2,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Light Controller 1,Support workstation,No Hop,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Light Controller 1,Support workstation,No Hop,No Hop
M,H,C,10.0,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Support workstation,Smart Bed,No Hop,No Hop
M,H,C,10.0,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,Smart Bed,No Hop,No Hop
M,H,C,10.0,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,Smart Bed,No Hop,No Hop
M,H,H,7.2,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,IP Surveillance camera,No Hop,No Hop
M,H,H,7.2,L,Cyber Terrorist,N,Smart Thermostat,Support workstation,IP Surveillance camera,No Hop,No Hop
M,H,H,7.2,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,IP Surveillance camera,No Hop,No Hop
M,H,H,8.8,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,H,7.8,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,H,8.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,H,7.8,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,H,8.8,L,Business Competitor,N,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
H,H,H,8.8,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,H,8.8,L,Cyber Terrorist,N,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,H,8.8,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,Doctor's workstation,No Hop,No Hop
M,H,C,9.8,L,Healthcare Rights Activist,N,Smart Thermostat,Support workstation,Hospital main router,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,Hospital main router,No Hop,No Hop
M,H,C,9.8,L,Business Competitor,N,Smart Thermostat,Support workstation,Hospital main router,No Hop,No Hop
H,H,C,9.8,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Support workstation,Hospital main router,No Hop,No Hop
M,H,C,9.8,L,Cyber Terrorist,N,Smart Thermostat,Support workstation,Hospital main router,No Hop,No Hop
M,H,C,9.8,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,Hospital main router,No Hop,No Hop
M,H,H,7.9,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Support workstation,Light Controller 1,No Hop,No Hop
M,H,H,7.9,L,Nation State (Hospital),A,Smart Thermostat,Support workstation,Light Controller 1,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Support workstation,Access Point,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,Access Point,No Hop,No Hop
M,H,C,9.8,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,Access Point,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Support workstation,Access Point,No Hop,No Hop
M,H,C,9.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Support workstation,Access Point,No Hop,No Hop
M,H,C,9.8,L,Nation State (Hospital),N,Smart Thermostat,Support workstation,Access Point,No Hop,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Smart Bed,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Smart Bed,No Hop
M,M,C,10.0,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Smart Bed,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Doctor's workstation,No Hop
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Hospital main router,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Hospital main router,No Hop
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Hospital main router,No Hop
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Hospital main router,No Hop
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Hospital main router,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Hospital main router,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Smart Bed,IP Surveillance camera,Light Controller 1,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Smart Bed,IP Surveillance camera,Light Controller 1,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart Bed,IP Surveillance camera,Support workstation,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart Bed,IP Surveillance camera,Support workstation,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Access Point,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Access Point,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Access Point,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Access Point,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,IP Surveillance camera,Access Point,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,IP Surveillance camera,Access Point,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Doctor's workstation,Smart Bed,No Hop
M,M,C,10.0,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Doctor's workstation,Smart Bed,No Hop
M,M,C,10.0,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,Smart Bed,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Doctor's workstation,IP Surveillance camera,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Doctor's workstation,IP Surveillance camera,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,IP Surveillance camera,No Hop
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Smart Bed,Doctor's workstation,Hospital main router,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Doctor's workstation,Hospital main router,No Hop
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,Doctor's workstation,Hospital main router,No Hop
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,Hospital main router,No Hop
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Doctor's workstation,Hospital main router,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,Hospital main router,No Hop
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Smart Bed,Doctor's workstation,Light Controller 1,No Hop
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Smart Bed,Doctor's workstation,Light Controller 1,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart Bed,Doctor's workstation,Support workstation,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart Bed,Doctor's workstation,Support workstation,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Doctor's workstation,Access Point,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Doctor's workstation,Access Point,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,Access Point,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Doctor's workstation,Access Point,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Doctor's workstation,Access Point,No Hop
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Doctor's workstation,Access Point,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Infusion Pump 2,Doctor's workstation,No Hop
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Light Controller 1,IP Surveillance camera,No Hop
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Light Controller 1,IP Surveillance camera,No Hop
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Smart Bed,Light Controller 1,IP Surveillance camera,No Hop
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Smart Bed,Light Controller 1,Hospital main router,No Hop
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart Bed,Light Controller 1,Hospital main router,No Hop
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Smart Bed,Light Controller 1,Hospital main router,No Hop
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart Bed,Light Controller 1,Hospital main router,No Hop
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Smart Bed,Light Controller 1,Hospital main router,No Hop
